ask_code,topic,en,ko,ru,zh,mn,zh_py,note
va001,1,sun (n.),해(太陽),солнце,太阳,нар,tai4 yang2,
va006,1,moon (n.),달,луна,月亮,сар,yue4 liang,
va009,1,star (n.),별,звезда,星星,од,xing1 xing,
va011,1,sky,하늘,небо,天(天空的+),тэнгэр,tian1 (tian1 kong1 de +),
va013,1,light (n.),빛,свет,光(太阳光的+),гэрэл,guang1 (tai4 yang2 guang1 de +),
va014,1,land (n.),땅,земля,地(天地的+),газар,di4,
va015,1,soil (n.),흙,почва,土(泥土的+),шороо,tu3 (ni2 tu3 de +),
va017,1,field (n.),밭/들,поле,田(几亩田的+),тариалангийн талбай,tian2 (ji3 mu3 tian2 de +),
va018,1,sand,모래,песок,沙子(盖房子用的+),элс,sha1 zi (gai4 fang2 zi yong4 de +),
va031,1,forest,숲,лес,林子(长满树的+),ой,lin2 zi (zhang3 man3 shu4 de +),
va033,1,stock farm,목장,пастбище,牧场,бэлчээр,mu4 chang3,
va034,1,mountain,산,гора,山(上山的+),уул,shan1 (shang4 shan1 de +),
va047,1,river,강,река,江(江河的+),гол,jiang1 (jiang1 he2 de +),
va048,1,rivulet,시내/내,речка,小河,,xiao3 he2,
va055,1,ice,얼음,лёд,冰(结冰的+),мөс,bing1 (jie2 bing1 de +),
va056,1,water,물,вода,水(喝水的+),ус,shui3 (he1 shui3 de +),
va057,1,well,우물,колодец,井(水井的+),худаг,jing3 (shui3 jing3 de +),
va062,1,fire,불,огонь,火(着火的+),гал,huo3 (zhao2 huo3 de +),
va063,1,stone,돌,камень,石头,чулуу,shi2 tou,
va065,1,country/nation,나라,страна,国(国家的+),улс,guo2 (guo2 jia1 de +),
va081,1,village,마을/동네,деревня,村(村子的+),тосгон,cun1 (cun1 zi de +),
va084,1,place,장소,место,地方(这个地方+),газар,di4 fang (zhe4 ge di4 fang de +),
vw003,2,"flood, inundation",홍수,наводнение,洪水,үер,hong2 shui3,
vw004,2,"flood, inundation",가뭄,засуха,旱灾,ган,han4 zai1,
vw010,2,rain,비,дождь,雨(+下雨的+),бороо,yu3 (xia4 yu3 de +),
vw012,2,snow,눈(雪),снег,雪(下雪的+),цас,xue3 (xia4 xue3 de +),
vw013,2,snow(v),내리다(눈이+),идёт снег,下(下雪的+),цас орох,xia4 (xia4 xue3 de +),
vw014,2,snowstorm,눈보라,метель,风雪,цасан шуурга,feng1 xue3,
vw016,2,wind,바람,ветер,风(刮风的+),салхи,feng1 (gua1 feng1 de +),
vw017,2,blow,불다(바람이+),дует ветер,刮(刮风的+),салхилах,gua1 (gua1 feng1 de +),
